drug_name,nafdac_number,manufacturer,batch_number,barcode,label,note
DEMO Artemether 20mg,A11-4676,Demo Life Sciences Ltd,B12773,4930456503090,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A11-9257,Sample Health Nigeria Ltd,B13122,1524724675201,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxcillin 500mg,A4-41509,Sample Remedies Ltd,B69571,6013289371070,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Vitamin C 100mg,A11-7943,Example Laboratories Ltd,B38909,1204408658204,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,04-2370,Example Laboratories Ltd,B51568,2451446011302,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A4-68685,Example Laboratories Ltd,B54605,4429191034867,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A4-96226,Demo Life Sciences Ltd,B42562,1788849273844,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-8007,Sample Health Nigeria Ltd,???,3392829653135,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Metronidazole 400mg,A4-90356,Example Laboratories Ltd,B50442,3450174056606,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-5921,Sample Remedies Ltd,B73362,3753609617355,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-31557,Sample Remedies Ltd,12,7826675768516,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Amoxicillin 500mg,A4-78900,Demo Life Sciences Ltd,B18522,1759998890258,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,04-1930,Example Healthcare Ltd,B54458,3968750910994,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-5022,Demo Life Sciences Ltd,B81412,9326081065390,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A4-47243,Demo Life Sciences Ltd,B63181,999999999999999,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Paracetamol 500mg,A11-6144,Demo Pharma Nigeria Ltd,B34825,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Vitamin C 100mg,04-4949,Example Laboratories Ltd,B34027,3984120976082,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,04-3719,Demo Pharma Nigeria Ltd,B42730,9065446946557,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A11-6934,Example Healthcare Ltd,B19771,7050160837357,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetomol 500mg,04-3071,Example Laboratories Ltd,B94487,1969668513602,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Paracetamol 500mg,04-9667,Demo Pharma Nigeria Ltd,B59936,ABC123456789,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Amoxicillin 500mg,A11-9921,Sample Health Nigeria Ltd,B67134,5635514163084,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-9930,Example Healthcare Ltd,B24814,1404195574530,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-5669,Sample Health Nigeria Ltd,B-XYZ,9017132417905,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Artemether 20mg,04-1850,Demo Pharma Nigeria Ltd,B79480,6954951368509,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-1287,Example Laboratories Ltd,B44198,9431318354803,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-60338,Demo Pharma Nigeria Ltd,B84799,2379558849620,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A1--77,Sample Health Nigeria Ltd,B14030,3792913056100,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Zinc 20mg,A11-3066,Sample Remedies Ltd,B55066,2295077522961,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,04-9346,Demo Pharma Nigeria Ltd,B11616,2096492541656,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-12X,Example Laboratories Ltd,B62299,2797980864940,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Paracetamol 500mg,NAFDAC-XYZ-000,Example Laboratories Ltd,B84335,2113784232852,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Vitamin C 100mg,04-5688,Sample Health Nigeria Ltd,B37085,ABC123456789,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Zinc 20mg,FAKE-0001,Sample Health Nigeria Ltd,B54924,5996782380940,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Paracetamol 500mg,A4/ABC,Example Laboratories Ltd,B22630,4772028873846,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Amoxcillin 500mg,04-1160,Sample Health Nigeria Ltd,B76448,5206434413997,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Paracetamol 500mg,A4-53545,Example Healthcare Ltd,B84647,8171353794925,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,04-2069,Demo Life Sciences Ltd,B93989,6427964416047,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A4-53570,Sample Health Nigeria Ltd,B48328,12345,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Artemether 20mg,04-8933,Example Healthcare Ltd,B99511,8349118870814,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A11-9309,Sample Remedies Ltd,B63498,12345,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Zinc 20mg,A11-5100,Sample Health Nigeria Ltd,B63869,3562480741041,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,04-1480,Demo Life Sciences Ltd,B11903,1498558682478,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,04-9858,Demo Life Sciences Ltd,B56439,4542674111487,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A4-18968,Example Laboratories Ltd,B88749,8660184641399,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A11-3540,Example Healthcare Ltd,B30526,6141093865684,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A11-8500,Demo Pharma Nigeria Ltd,B43624,5713776538458,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetomol 500mg,04-9122,Demo Pharma Nigeria Ltd,B46367,1892018274218,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Zinc 20mg,04-7650,Example Healthcare Ltd,,8015297866941,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Ibuprofen 200mg,A4-78628,Demo Life Sciences Ltd,B39077,8718149297102,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A4-48309,Example Laboratories Ltd,B67560,3398169857507,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-7631,Sample Remedies Ltd,B64375,4307606291035,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,04-9538,Sample Remedies Ltd,B44151,7171690109102,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A4-96087,Sample Health Nigeria Ltd,B86876,3955250845041,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,04-6695,Sample Remedies Ltd,B68732,8239526451522,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-86210,Example Healthcare Ltd,B,2821641338131,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Amoxicillin 500mg,A11-5708,Sample Health Nigeria Ltd,B,1855861734069,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Metronidazole 400mg,04-5006,Demo Pharma Nigeria Ltd,B96393,8207957584765,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,04-6310,Sample Health Nigeria Ltd,B81559,9514243565355,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-1777,Demo Pharma Nigeria Ltd,B56848,2541621736834,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxcillin 500mg,04-5658,Sample Remedies Ltd,B51938,5703685979617,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Amoxicillin 500mg,04-7490,Demo Life Sciences Ltd,B22522,2077602296509,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A11-12X,Sample Remedies Ltd,B69207,4767474707112,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Metronidazole 400mg,04-8156,Sample Remedies Ltd,B76440,7862789323635,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-9424,Demo Life Sciences Ltd,B38299,2418504837624,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A4-94956,Sample Remedies Ltd,B76373,7567171378095,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4-98675,Sample Remedies Ltd,B80226,5314326077120,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetomol 500mg,04-6733,Example Laboratories Ltd,B86169,2066307194953,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Paracetamol 500mg,A11-5088,Sample Remedies Ltd,B62942,7174867285948,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-1108,Example Laboratories Ltd,B48816,5126932736186,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A4-99705,Demo Life Sciences Ltd,B92658,8031646318882,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A11-6991,Sample Health Nigeria Ltd,B71603,8532069216947,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-9072,Demo Pharma Nigeria Ltd,B69910,6851125140028,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A11-12X,Demo Pharma Nigeria Ltd,B32132,2287196876499,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Amoxicillin 500mg,A11-1048,Demo Pharma Nigeria Ltd,B91956,6906421353946,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-29491,Demo Pharma Nigeria Ltd,B83797,8213336297733,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A11-12X,Example Healthcare Ltd,B15150,8208674682774,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Ibuprofen 200mg,04-2023,Example Laboratories Ltd,B83781,1361361695923,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,FAKE-0001,Example Laboratories Ltd,B55407,7706693154958,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Vitamin C 100mg,04-1899,Demo Pharma Nigeria Ltd,B83198,2737373417819,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-6546,Demo Life Sciences Ltd,B98217,6503892453793,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,04-4340,Demo Pharma Nigeria Ltd,B29721,7386204565904,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-78623,Example Laboratories Ltd,B26517,9820244615986,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A4-30832,Demo Life Sciences Ltd,B-XYZ,2306172291985,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Cetirizine 10mg,NAFDAC-XYZ-000,Demo Life Sciences Ltd,B72979,6843098397207,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Vitamin C 100mg,A4-97366,Demo Life Sciences Ltd,B72178,5267518565343,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,04-6498,Sample Health Nigeria Ltd,B35026,3742341433847,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A4-94964,Demo Life Sciences Ltd,B97430,4679047984857,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A4-47938,Demo Life Sciences Ltd,B38533,1324538508496,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-65146,Example Healthcare Ltd,B-XYZ,6091947103886,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Metronidazole 400mg,A11-4882,Demo Life Sciences Ltd,B38458,8086889997872,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A4-88752,Demo Life Sciences Ltd,B57373,12345,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Zinc 20mg,A1--77,Sample Health Nigeria Ltd,B55326,5682476032664,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Cetirizine 10mg,A4-86982,Sample Health Nigeria Ltd,B44552,2042710519017,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A4-18126,Example Laboratories Ltd,B15001,3525502925202,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,04-8708,Example Healthcare Ltd,B-XYZ,1132145592040,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Artemether 20mg,A4-37126,Example Laboratories Ltd,B23825,6407563671505,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,04-7934,Sample Health Nigeria Ltd,B16894,7948944022190,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-7073,Demo Pharma Nigeria Ltd,B73485,12345,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Ibuprofen 200mg,FAKE-0001,Demo Life Sciences Ltd,B52004,2493161810888,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Zinc 20mg,A11-5525,Sample Health Nigeria Ltd,B-XYZ,8551627577934,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Ibuprofen 200mg,A11-5316,Sample Remedies Ltd,B39573,7797971555151,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetomol 500mg,A11-6688,Sample Health Nigeria Ltd,B23560,2628339870077,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Amoxicillin 500mg,A4-2376,Example Healthcare Ltd,B27494,6278006557132,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-41273,Example Healthcare Ltd,12,8592295462862,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Ibuprofen 200mg,A11-8929,Example Laboratories Ltd,B65244,4299475464393,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,04-4328,Sample Health Nigeria Ltd,B-XYZ,5343152577285,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Vitamin C 100mg,A4-58708,Sample Health Nigeria Ltd,B37447,8652468689502,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,04-9255,Sample Health Nigeria Ltd,B57826,1944817443064,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-3332,Demo Life Sciences Ltd,B45234,4049700720486,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A11-6385,Demo Life Sciences Ltd,B93470,5033865954311,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,04-9835,Demo Pharma Nigeria Ltd,B47396,999999999999999,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Cetirizine 10mg,04-3562,Sample Health Nigeria Ltd,B,7852893068655,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Amoxcillin 500mg,04-4960,Example Laboratories Ltd,B51465,2026936640652,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Cetirizine 10mg,A1--77,Sample Health Nigeria Ltd,B68868,9728336050349,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Ibuprofen 200mg,04-3679,Example Laboratories Ltd,B97330,4118435751817,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO @@@ 500mg,A4-33200,Demo Life Sciences Ltd,B79960,5407297676351,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Amoxicillin 500mg,04-5863,Sample Remedies Ltd,B16662,1763373450806,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A11-4353,Example Healthcare Ltd,B93222,8403247815556,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4/ABC,Demo Pharma Nigeria Ltd,B43207,7077750658006,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Ibuprofen 200mg,A11-9169,Demo Pharma Nigeria Ltd,B87890,12345,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Paracetamol 500mg,04-3366,Demo Life Sciences Ltd,B31028,1040501124456,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,04-3291,Demo Life Sciences Ltd,???,4612200017980,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Vitamin C 100mg,A4-71253,Sample Health Nigeria Ltd,B57176,8680102040295,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetomol 500mg,A11-7113,Sample Remedies Ltd,B45724,3473425456795,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Metronidazole 400mg,A4-30339,Sample Remedies Ltd,12,8266884453785,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Amoxcillin 500mg,04-7611,Demo Life Sciences Ltd,B22313,6173847366606,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Paracetamol 500mg,04-1927,Sample Remedies Ltd,B54621,5472249365172,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-5079,Demo Pharma Nigeria Ltd,B16044,2817811339198,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-7766,Demo Life Sciences Ltd,B89263,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Cetirizine 10mg,A4-33208,Sample Health Nigeria Ltd,B35608,9072971188956,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4-62368,Sample Health Nigeria Ltd,B37540,7680861544761,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-2398,Demo Pharma Nigeria Ltd,B36944,3172348554639,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A4-78597,Sample Health Nigeria Ltd,B10138,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Vitamin C 100mg,04-7043,Sample Health Nigeria Ltd,B52862,999999999999999,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Artemether 20mg,A11-4843,Example Laboratories Ltd,B52324,6059536603637,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-1322,Example Healthcare Ltd,B95980,5614588578700,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A11-6148,Sample Health Nigeria Ltd,B76531,1369711839743,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A11-1458,Sample Health Nigeria Ltd,B50960,5644790211313,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A4-21494,Demo Pharma Nigeria Ltd,B67200,999999999999999,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Artemether 20mg,A11-2008,Sample Remedies Ltd,B45470,4749486697621,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A11-1263,Sample Health Nigeria Ltd,B24631,5573506202315,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-3060,Sample Remedies Ltd,???,8025230237738,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Cetirizine 10mg,A4-74649,Example Healthcare Ltd,B92274,7149325218928,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,04-7403,Example Healthcare Ltd,B93733,1437123608622,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,NAFDAC-XYZ-000,Demo Pharma Nigeria Ltd,B64322,2243848344746,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Paracetamol 500mg,04-6580,Sample Health Nigeria Ltd,B26948,1281551616114,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A4-1469,Example Healthcare Ltd,???,6311758444894,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Paracetomol 500mg,04-3619,Demo Life Sciences Ltd,B65720,2464691374944,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Amoxicillin 500mg,A11-4253,Sample Health Nigeria Ltd,B60123,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Ibuprofen 200mg,A11-2946,Demo Pharma Nigeria Ltd,B38655,8192921700172,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A11-7622,Sample Remedies Ltd,B67213,1702975537723,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO @@@ 500mg,04-3713,Sample Remedies Ltd,B11713,2489389818235,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Ibuprofen 200mg,04-7986,Example Healthcare Ltd,B21175,6344474932255,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-9924,Example Laboratories Ltd,B72377,2556495427978,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-4493,Demo Pharma Nigeria Ltd,B93174,9937761237373,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-6595,Demo Life Sciences Ltd,B90756,8923422701148,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-4091,Example Healthcare Ltd,B74944,6351108480017,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-3081,Sample Health Nigeria Ltd,B85261,1163444895229,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A11-5726,Sample Health Nigeria Ltd,B85511,6496931199118,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A11-7825,Example Laboratories Ltd,B70985,7531926712438,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A4-4481,Sample Health Nigeria Ltd,B23480,5631247466969,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,04-9006,Sample Remedies Ltd,B56820,4671652873244,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-2605,Sample Remedies Ltd,12,2344367407313,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Amoxicillin 500mg,A4-47509,Sample Health Nigeria Ltd,B87307,9213244697276,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-1798,Example Laboratories Ltd,B67998,4411474255335,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A4-11356,Demo Life Sciences Ltd,B75801,8046641170233,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,04-1029,Sample Health Nigeria Ltd,B72953,8182876922364,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO @@@ 500mg,A4-80692,Sample Remedies Ltd,B76923,1208260851237,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Zinc 20mg,A4-57567,Sample Health Nigeria Ltd,B66586,3872192397396,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A4-7700,Sample Remedies Ltd,,6415972802808,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Artemether 20mg,A4-31471,Sample Remedies Ltd,B42641,2179978237235,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-1890,Demo Pharma Nigeria Ltd,B40552,9594085526701,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,04-9779,Example Laboratories Ltd,B62578,3503020211843,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-1406,Sample Remedies Ltd,B56980,5215749771220,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,04-8951,Sample Remedies Ltd,B18085,6872672806773,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,04-7953,Example Healthcare Ltd,B32719,999999999999999,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Paracetamol 500mg,04-4690,Sample Health Nigeria Ltd,B65256,9576992194910,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,04-8611,Sample Health Nigeria Ltd,B37401,5976084286579,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A4-45978,Demo Life Sciences Ltd,B46229,2487801910305,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-8630,Demo Pharma Nigeria Ltd,???,6258050740550,suspicious,Synthetic demonstration record; injected issue: bad_batch.
